date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
2001-11-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,955.2,13.94
2001-12-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1129,16.48
2001-12-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,955,13.94
2002-01-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1210,17.66
2002-01-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,961,14.03
2002-02-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1267,18.5
2002-02-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,965,14.09
2002-03-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1279,18.67
2002-03-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,965,14.09
2002-04-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1263,18.44
2002-04-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,954.25,13.93
2002-05-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1217,17.77
2002-05-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,928.75,13.56
2002-06-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1200,17.52
2002-06-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,925,13.5
2002-07-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1218,17.78
2002-07-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,925,13.5
2002-08-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1270,18.54
2002-08-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,914.75,13.35
2002-09-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1256,18.34
2002-09-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,914.25,13.35
2002-10-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1324,19.33
2002-10-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,914,13.34
2002-11-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1350,19.71
2002-11-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,907.5,13.25
2002-12-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1263,18.44
2002-12-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,899.75,13.14
2003-01-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1263,18.44
2003-01-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,903.5,13.19
2003-02-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1339,19.55
2003-02-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,873.33,12.75
2003-03-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1369,19.99
2003-03-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,893.33,13.04
2003-04-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1316,19.21
2003-04-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,856,12.5
2003-05-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1327,19.37
2003-05-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,820,11.97
2003-06-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1360,19.85
2003-06-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,857.5,12.52
2003-07-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1385,20.22
2003-07-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,872,12.73
2003-08-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1419,20.72
2003-08-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,875,12.77
2003-09-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1391,20.31
2003-09-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,901.25,13.16
2003-10-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1398,20.41
2003-10-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,910,13.28
2003-11-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1320,19.27
2003-11-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,910,13.28
2003-12-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1320,19.27
2003-12-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,910,13.28
2004-01-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1320,19.27
2004-01-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,910,13.28
2004-01-15,Dhaka,Dhaka,Dhaka Division,116,23.72,90.41,cereals and tubers,Rice (coarse),60,KG,actual,Retail,BDT,14,0.2
2004-02-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1320,19.27
2004-02-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,992.5,14.49
2004-02-15,Dhaka,Dhaka,Dhaka Division,116,23.72,90.41,cereals and tubers,Rice (coarse),60,KG,actual,Retail,BDT,14,0.2
2004-03-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1347,19.66
2004-03-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,1125,16.42
2004-03-15,Dhaka,Dhaka,Dhaka Division,116,23.72,90.41,cereals and tubers,Rice (coarse),60,KG,actual,Retail,BDT,14,0.2
2004-04-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1347,19.66
2004-04-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,1125,16.42
2004-04-15,Dhaka,Dhaka,Dhaka Division,116,23.72,90.41,cereals and tubers,Rice (coarse),60,KG,actual,Retail,BDT,14,0.2
2004-05-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1327,19.37
2004-05-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,1125,16.42
2004-05-15,Dhaka,Dhaka,Dhaka Division,116,23.72,90.41,cereals and tubers,Rice (coarse),60,KG,actual,Retail,BDT,14,0.2
2004-06-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1329,19.4
2004-06-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,1125,16.42
2004-06-15,Dhaka,Dhaka,Dhaka Division,116,23.72,90.41,cereals and tubers,Rice (coarse),60,KG,actual,Retail,BDT,14,0.2
2004-07-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1343,19.61
2004-07-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,1125,16.42
2004-07-15,Dhaka,Dhaka,Dhaka Division,116,23.72,90.41,cereals and tubers,Rice (coarse),60,KG,actual,Retail,BDT,14.5,0.21
2004-08-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,"Rice (coarse, BR-8/ 11/, Guti Sharna)",588,100 KG,actual,Wholesale,BDT,1410,20.58
2004-08-15,Dhaka,Dhaka,Dhaka,2574,23.81,90.41,cereals and tubers,Wheat,84,100 KG,actual,Wholesale,BDT,1152.75,16.83
2004-08-15,Dhaka,Dhaka,Dhaka Division,116,23.72,90.41,cereals and tubers,Rice (coarse),60,KG,actual,Retail,BDT,15,0.22
